"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3665","test_10_CreateLessonTemplate()","","2026-07-22","passed","2026-07-22","","com.prestige.tests.functional.Test_10_CreateLessonTemplateTest","com.prestige.tests.functional.Test_10_CreateLessonTemplateTest","test_10_CreateLessonTemplate"
"","2968","test_01_CreateStudent()","","2026-07-22","passed","2026-07-22","","com.prestige.tests.functional.Test_01_CreateStudentTest","com.prestige.tests.functional.Test_01_CreateStudentTest","test_01_CreateStudent"
"","3829","test_08_EditCard()","","2026-07-22","passed","2026-07-22","","com.prestige.tests.functional.Test_08_EditCardTest","com.prestige.tests.functional.Test_08_EditCardTest","test_08_EditCard"
"","2594","test_15_DeleteLesson()","","2026-07-22","passed","2026-07-22","","com.prestige.tests.functional.Test_15_DeleteLessonTest","com.prestige.tests.functional.Test_15_DeleteLessonTest","test_15_DeleteLesson"
"","3463","test_06_DeleteCoach()","","2026-07-22","passed","2026-07-22","","com.prestige.tests.functional.Test_06_DeleteCoachTest","com.prestige.tests.functional.Test_06_DeleteCoachTest","test_06_DeleteCoach"
"","2985","test_04_CreateCoach()","","2026-07-22","passed","2026-07-22","","com.prestige.tests.functional.Test_04_CreateCoachTest","com.prestige.tests.functional.Test_04_CreateCoachTest","test_04_CreateCoach"
"","4757","test_13_CreateLesson()","","2026-07-22","passed","2026-07-22","","com.prestige.tests.functional.Test_13_CreateLessonTest","com.prestige.tests.functional.Test_13_CreateLessonTest","test_13_CreateLesson"
"","3612","test_11_EditLessonTemplate()","","2026-07-22","passed","2026-07-22","","com.prestige.tests.functional.Test_11_EditLessonTemplateTest","com.prestige.tests.functional.Test_11_EditLessonTemplateTest","test_11_EditLessonTemplate"
"","795","test_16_StudentBirthday()","","2026-07-22","passed","2026-07-22","","com.prestige.tests.functional.Test_16_StudentsBirthdayTest","com.prestige.tests.functional.Test_16_StudentsBirthdayTest","test_16_StudentBirthday"
"","2666","test_12_DeleteLessonTemplate()","","2026-07-22","passed","2026-07-22","","com.prestige.tests.functional.Test_12_DeleteLessonTemplateTest","com.prestige.tests.functional.Test_12_DeleteLessonTemplateTest","test_12_DeleteLessonTemplate"
"","2764","test_03_DeleteStudent()","","2026-07-22","passed","2026-07-22","","com.prestige.tests.functional.Test_03_DeleteStudentTest","com.prestige.tests.functional.Test_03_DeleteStudentTest","test_03_DeleteStudent"
"","1957","test_09_DeleteCard()","","2026-07-22","passed","2026-07-22","","com.prestige.tests.functional.Test_09_DeleteCardTest","com.prestige.tests.functional.Test_09_DeleteCardTest","test_09_DeleteCard"
"","3026","test_02_EditStudent()","","2026-07-22","passed","2026-07-22","","com.prestige.tests.functional.Test_02_EditStudentTest","com.prestige.tests.functional.Test_02_EditStudentTest","test_02_EditStudent"
"","2149","test_05_EditCoach()","","2026-07-22","passed","2026-07-22","","com.prestige.tests.functional.Test_05_EditCoachTest","com.prestige.tests.functional.Test_05_EditCoachTest","test_05_EditCoach"
"","2817","test_14_EditLesson()","","2026-07-22","passed","2026-07-22","","com.prestige.tests.functional.Test_14_EditLessonTest","com.prestige.tests.functional.Test_14_EditLessonTest","test_14_EditLesson"
"","3102","test_07_CreateCard()","","2026-07-22","passed","2026-07-22","","com.prestige.tests.functional.Test_07_CreateCardTest","com.prestige.tests.functional.Test_07_CreateCardTest","test_07_CreateCard"
